"Name","Created","Runtime","End Time","Notes","State","Tags","mws_batch_size","seed","TC","DKL","MI","analytical_cond_kl","joint_entropy","logpx","train_batch_size","MIG","batch_size"
"mws-bs1024_seed9","2026-01-10T11:38:51.000Z","2857","2026-01-10T12:26:28.000Z","2","finished","decoupled","1024","9","0.108551025390625","0.2901507616043091","8.681062698364258","9.079764366149902","13.969156265258787","-98.33541870117188","1024","0.32396048307418823",""
"mws-bs512_seed9","2026-01-10T10:51:31.000Z","2819","2026-01-10T11:38:30.000Z","2","finished","decoupled","512","9","0.09513187408447266","0.1760721206665039","8.50241470336914","8.7736177444458","14.08282470703125","-97.62008666992188","1024","0.4548085331916809",""
"mws-bs256_seed9","2026-01-10T10:04:03.000Z","2827","2026-01-10T10:51:10.000Z","2","finished","decoupled","256","9","0.09467697143554688","0.19082653522491455","8.524118423461914","8.809621810913086","14.006193161010742","-97.01261901855467","1024","0.4394771456718445",""
"mws-bs64_seed9","2026-01-10T09:18:05.000Z","2736","2026-01-10T10:03:41.000Z","2","finished","decoupled","64","9","0.18100357055664065","0.30452072620391846","8.587299346923828","9.072823524475098","13.761516571044922","-101.9146499633789","1024","0.22001774609088895",""
"mws-bs32_seed9","2026-01-10T08:29:52.000Z","2881","2026-01-10T09:17:53.000Z","2","finished","decoupled","32","9","0.24845504760742188","0.11452925205230712","8.858245849609375","9.221230506896973","13.94144344329834","-101.03386688232422","1024","0.1878606081008911",""
"mws-bs1024_seed8","2026-01-10T07:42:00.000Z","2867","2026-01-10T08:29:47.000Z","2","finished","decoupled","1024","8","0.3533763885498047","0.3607602119445801","9.587770462036133","10.30190658569336","13.78273582458496","-80.41908264160156","1024","0.123245507478714",""
"mws-bs512_seed8","2026-01-10T06:57:09.000Z","2665","2026-01-10T07:41:34.000Z","2","finished","decoupled","512","8","0.3834228515625","0.3271077871322632","9.522500991821287","10.2330322265625","13.753292083740234","-83.25045776367188","1024","0.06425456702709198",""
"mws-bs256_seed8","2026-01-10T06:13:11.000Z","2626","2026-01-10T06:56:57.000Z","2","finished","decoupled","256","8","0.10018157958984376","0.2113630771636963","8.632373809814453","8.943918228149414","14.069643020629885","-96.39058685302734","1024","0.4823266565799713",""
"mws-bs64_seed8","2026-01-10T05:28:29.000Z","2669","2026-01-10T06:12:58.000Z","2","finished","decoupled","64","8","0.22078990936279297","0.1175363063812256","8.225944519042969","8.564270973205566","13.9041109085083","-108.4946746826172","1024","0.19828438758850095",""
"mws-bs32_seed8","2026-01-10T04:43:27.000Z","2681","2026-01-10T05:28:08.000Z","2","finished","decoupled","32","8","0.23244953155517575","0.2025059461593628","8.800390243530273","9.235343933105469","13.859588623046877","-103.6529769897461","1024","0.1623464822769165",""
"mws-bs1024_seed7","2026-01-10T03:55:05.000Z","2890","2026-01-10T04:43:15.000Z","2","finished","decoupled","1024","7","0.39562129974365234","0.28973352909088135","9.710737228393556","10.396093368530272","13.782696723937988","-78.99317932128906","1024","0.15039029717445374",""
"mws-bs512_seed7","2026-01-10T03:10:29.000Z","2671","2026-01-10T03:55:00.000Z","2","finished","decoupled","512","7","0.3954296112060547","0.30225884914398193","9.568086624145508","10.265775680541992","13.74267578125","-80.2432861328125","1024","0.04495064541697502",""
"mws-bs256_seed7","2026-01-10T02:22:09.000Z","2877","2026-01-10T03:10:06.000Z","2","finished","decoupled","256","7","0.309478759765625","0.4454073905944824","9.623374938964844","10.378259658813477","13.731468200683594","-78.0087661743164","1024","0.44487571716308594",""
"mws-bs64_seed7","2026-01-10T01:35:19.000Z","2789","2026-01-10T02:21:48.000Z","2","finished","decoupled","64","7","0.2249612808227539","0.13716602325439453","8.064565658569336","8.426692962646484","13.947430610656738","-108.74002075195312","1024","0.07863669097423553",""
"mws-bs32_seed7","2026-01-10T00:50:01.000Z","2706","2026-01-10T01:35:07.000Z","2","finished","decoupled","32","7","0.2925987243652344","0.183388352394104","8.381965637207031","8.857952117919922","13.829132080078123","-107.18890380859376","1024","0.060915932059288025",""
"mws-bs1024_seed6","2026-01-10T00:03:46.000Z","2771","2026-01-10T00:49:57.000Z","2","finished","decoupled","1024","6","0.08897686004638672","0.20272719860076904","8.657854080200195","8.94955825805664","14.124035835266112","-95.87770080566406","1024","0.48045212030410767",""
"mws-bs512_seed6","2026-01-09T23:18:32.000Z","2671","2026-01-10T00:03:03.000Z","2","finished","decoupled","512","6","0.09159469604492188","0.1592307090759277","8.506305694580078","8.75713062286377","14.129660606384276","-97.39642333984376","1024","0.4547755718231201",""
"mws-bs256_seed6","2026-01-09T22:32:47.000Z","2732","2026-01-09T23:18:19.000Z","2","finished","decoupled","256","6","0.1073312759399414","0.183013916015625","8.464025497436523","8.754371643066406","14.064570426940918","-97.56575012207033","1024","0.19269423186779025",""
"mws-bs64_seed6","2026-01-09T21:45:11.000Z","2843","2026-01-09T22:32:34.000Z","2","finished","decoupled","64","6","0.1353778839111328","0.19408702850341797","8.286935806274414","8.616401672363281","13.972946166992188","-104.4126434326172","1024","0.27463430166244507",""
"mws-bs32_seed6","2026-01-09T20:57:04.000Z","2866","2026-01-09T21:44:50.000Z","2","finished","decoupled","32","6","0.28022003173828125","0.3137805461883545","8.906866073608398","9.500865936279297","13.696514129638672","-104.5791015625","1024","0.2703735828399658",""
"mws-bs1024_seed5","2026-01-09T20:11:58.000Z","2693","2026-01-09T20:56:51.000Z","2","finished","decoupled","1024","5","0.369379997253418","0.25581884384155273","9.551895141601562","10.177093505859377","13.810224533081056","-81.77986907958984","1024","0.07474607229232788",""
"mws-bs512_seed5","2026-01-09T19:25:29.000Z","2785","2026-01-09T20:11:54.000Z","2","finished","decoupled","512","5","0.08623790740966797","0.1440446376800537","8.542500495910645","8.772782325744629","14.130202293395996","-97.36608123779295","1024","0.4736385345458984",""
"mws-bs256_seed5","2026-01-09T18:38:24.000Z","2803","2026-01-09T19:25:07.000Z","2","finished","decoupled","256","5","0.09777069091796876","0.17289769649505615","8.420108795166016","8.690777778625488","14.051799774169922","-98.92433166503906","1024","0.41422414779663086",""
"mws-bs64_seed5","2026-01-09T17:52:35.000Z","2728","2026-01-09T18:38:03.000Z","2","finished","decoupled","64","5","0.5196504592895508","0.27360689640045166","9.719392776489258","10.512649536132812","13.74689769744873","-82.1622543334961","1024","0.2383995056152344",""
"mws-bs32_seed5","2026-01-09T17:07:54.000Z","2669","2026-01-09T17:52:23.000Z","2","finished","decoupled","32","5","0.32672595977783203","0.0383983850479126","8.692659378051758","9.057783126831056","13.907212257385254","-102.67764282226562","1024","0.08391864597797394",""
"mws-bs1024_seed4","2026-01-09T16:22:37.000Z","2712","2026-01-09T17:07:49.000Z","2","finished","decoupled","1024","4","0.2089262008666992","0.07206869125366211","8.417267799377441","8.698263168334961","14.120326042175291","-103.75852966308594","1024","0.05137740075588226",""
"mws-bs512_seed4","2026-01-09T15:35:11.000Z","2819","2026-01-09T16:22:10.000Z","2","finished","decoupled","512","4","0.1583690643310547","0.07167506217956543","8.287527084350586","8.517571449279785","14.15985870361328","-103.36083984375","1024","0.13891206681728363",""
"mws-bs256_seed4","2026-01-09T14:50:24.000Z","2674","2026-01-09T15:34:58.000Z","2","finished","decoupled","256","4","0.08751869201660156","0.17020881175994873","8.57326602935791","8.83099365234375","14.135530471801758","-96.33979034423828","1024","0.4793303608894348",""
"mws-bs64_seed4","2026-01-09T14:04:37.000Z","2734","2026-01-09T14:50:11.000Z","2","finished","decoupled","64","4","0.13952350616455078","0.14622950553894043","8.543102264404297","8.828855514526367","14.08482265472412","-101.54232025146484","1024","0.2591724693775177",""
"mws-bs32_seed4","2026-01-09T13:19:45.000Z","2671","2026-01-09T14:04:16.000Z","2","finished","decoupled","32","4","0.22072315216064453","0.08282089233398438","8.547395706176758","8.85093879699707","13.999212265014648","-103.98130798339844","1024","0.13275721669197085",""
"mws-bs1024_seed3","2026-01-09T12:31:52.000Z","2861","2026-01-09T13:19:33.000Z","2","finished","decoupled","1024","3","0.0948038101196289","0.2283167839050293","8.66091537475586","8.98403549194336","14.089171409606934","-96.16597747802734","1024","0.26331186294555664",""
"mws-bs512_seed3","2026-01-09T11:48:15.000Z","2613","2026-01-09T12:31:48.000Z","2","finished","decoupled","512","3","0.14797019958496094","0.17447137832641602","8.245105743408203","8.567546844482422","14.069363594055176","-101.2275848388672","1024","0.19975769519805908",""
"mws-bs256_seed3","2026-01-09T11:03:01.000Z","2691","2026-01-09T11:47:52.000Z","2","finished","decoupled","256","3","0.08472156524658203","0.24212658405303955","8.594603538513184","8.921451568603516","14.016959190368652","-95.58502960205078","1024","0.4899497628211975",""
"mws-bs64_seed3","2026-01-09T10:15:20.000Z","2809","2026-01-09T11:02:09.000Z","2","finished","decoupled","64","3","0.15875530242919922","0.20724403858184817","8.50185775756836","8.867856979370117","13.95559024810791","-102.45816040039062","1024","0.12990279495716095",""
"mws-bs32_seed3","2026-01-09T09:30:43.000Z","2665","2026-01-09T10:15:08.000Z","2","finished","decoupled","32","3","0.5790176391601562","0.19232022762298584","9.758360862731934","10.52969741821289","13.800647735595703","-85.0334243774414","1024","0.06007171422243118",""
"mws-bs1024_seed2","2026-01-09T08:43:10.000Z","2849","2026-01-09T09:30:39.000Z","2","finished","decoupled","1024","2","0.14882278442382812","0.09928476810455322","8.373295783996582","8.621403694152832","14.049396514892578","-100.83583068847656","1024","0.12837417423725128",""
"mws-bs512_seed2","2026-01-09T07:55:30.000Z","2834","2026-01-09T08:42:44.000Z","2","finished","decoupled","512","2","0.17345333099365234","0.06970608234405518","8.234150886535645","8.477310180664062","14.073262214660645","-102.6437530517578","1024","0.1934659481048584",""
"mws-bs256_seed2","2026-01-09T07:11:17.000Z","2639","2026-01-09T07:55:16.000Z","2","finished","decoupled","256","2","0.12465095520019533","0.24568426609039307","8.299514770507812","8.669851303100586","13.800657272338867","-102.68098449707033","1024","0.30954816937446594",""
"mws-bs64_seed2","2026-01-09T06:24:53.000Z","2771","2026-01-09T07:11:04.000Z","2","finished","decoupled","64","2","0.20969772338867188","0.11647236347198486","8.273380279541016","8.599550247192383","14.010091781616213","-104.10846710205078","1024","0.15155412256717682",""
"mws-bs32_seed2","2026-01-09T05:38:32.000Z","2760","2026-01-09T06:24:32.000Z","2","finished","decoupled","32","2","0.29978179931640625","0.707069993019104","7.705743789672852","8.712594985961914","13.02965259552002","-140.97523498535156","1024","0.22154414653778076",""
"mws-bs1024_seed1","2026-01-09T04:52:26.000Z","2753","2026-01-09T05:38:19.000Z","2","finished","decoupled","1024","1","0.15865135192871094","0.18063056468963623","8.404414176940918","8.743696212768555","14.019204139709473","-102.70841217041016","1024","0.21993409097194672",""
"mws-bs512_seed1","2026-01-09T04:07:07.000Z","2715","2026-01-09T04:52:22.000Z","2","finished","decoupled","512","1","0.16252708435058594","0.10266458988189696","8.382264137268066","8.647455215454102","14.06243896484375","-100.2377700805664","1024","0.2152504026889801",""
"mws-bs256_seed1","2026-01-09T03:22:22.000Z","2664","2026-01-09T04:06:46.000Z","2","finished","decoupled","256","1","0.3753347396850586","0.4523500204086304","9.58103847503662","10.408721923828123","13.549019813537598","-83.2081298828125","1024","0.25347134470939636",""
"mws-bs64_seed1","2026-01-09T02:34:11.000Z","2870","2026-01-09T03:22:01.000Z","2","finished","decoupled","64","1","0.40763282775878906","0.3299297094345093","9.602837562561035","10.340399742126465","13.642218589782717","-85.67193603515625","1024","0.1674434095621109",""
"mws-bs32_seed1","2026-01-09T01:50:00.000Z","2639","2026-01-09T02:33:59.000Z","2","finished","decoupled","32","1","0.2293672561645508","0.19886600971221924","8.798540115356445","9.226773262023926","13.918598175048828","-102.14567565917967","1024","0.1240946650505066",""
"mws-bs1024_seed0","2026-01-09T01:04:14.000Z","2724","2026-01-09T01:49:38.000Z","2","finished","decoupled","1024","0","0.08492851257324219","0.21042513847351071","8.789365768432617","9.084718704223633","14.12038230895996","-92.80815887451172","1024","0.4754292964935303",""
"mws-bs512_seed0","2026-01-09T00:16:26.000Z","2856","2026-01-09T01:04:02.000Z","2","finished","decoupled","512","0","0.09139060974121094","0.23955631256103516","8.6127290725708","8.943675994873047","14.023761749267578","-94.91754913330078","1024","0.48933643102645874",""
"mws-bs256_seed0","2026-01-08T23:29:05.000Z","2836","2026-01-09T00:16:21.000Z","2","finished","decoupled","256","0","0.10081005096435548","0.1638699769973755","8.272204399108887","8.536884307861328","14.02546215057373","-100.33782958984376","1024","0.3921469449996948",""
"mws-bs64_seed0","2026-01-08T22:42:05.000Z","2794","2026-01-08T23:28:39.000Z","2","finished","decoupled","64","0","0.15724849700927734","0.2088273763656616","8.337865829467773","8.70394229888916","13.958974838256836","-103.4762954711914","1024","0.14334793388843536",""
"mws-bs32_seed0","2026-01-08T21:55:28.000Z","2785","2026-01-08T22:41:53.000Z","2","finished","decoupled","32","0","0.22172164916992188","0.16306769847869873","8.742051124572754","9.126840591430664","13.944255828857422","-101.1754150390625","1024","0.150746151804924",""